headline,nickname,abstract,website,time,word,view,like
椰香南瓜挞：温和地唤醒冬日味蕾,西西的花园,4岁半的女儿这一周班里要进行讲故事比赛，不喜欢在别人面前表达的她十分抗拒，我费了九牛二虎之力，挑选了她的新宠长颈鹿卡蜜儿系列的一本书作为故事的题...,https://www.jianshu.com/p/7910b275ae2a,2018.11.14 14:58,885,86,2
淘宝上有哪些好吃到停不下来的零食?,做你可爱的梦,大家早上好鸭！身为一个可爱的绿孩子，我竟然忘记最重要的零食篇！啊啊啊啊啊啊啊...既然你诚心诚意的问了，那我就大发慈悲的告诉你：有哪些炒鸡好吃的...,https://www.jianshu.com/p/134c1051dbfd,2018.11.14 15:34,3233,289,8
蔷薇食谱：青菜虾仁面,苏州的蔷薇花开,星期天， 一个下午3斤虾仁剥好，又是做晚饭的时候了。看着这新鲜的虾仁，我说，晚上不做饭了，我来做碗虾仁面给你们吃吧！ 小半碗新鲜虾仁，...,https://www.jianshu.com/p/6725f722c34b,2018.11.14 13:35,599,566,10
最难练的肩部肌群，5个动作就这样全方位搞定了！,波普董健身,肩膀不练怎么当衣架？金发女郎教你5个动作，全方位轰炸三角肌！ 肩部训练可能是多数人所忽视的一个部位，看似不起眼，却起着尤为关键的作用。 肩部训练...,https://www.jianshu.com/p/11390ccb78a1,2018.11.14 11:26,1152,110,5
香港迪士尼与上海迪士尼的异同（深珠港澳七天六晚游记攻略）,sara的成长游记,大概每个小女孩都会有一个公主梦，迪士尼能够很好的满足孩子们的梦想，中国目前有两座迪士尼公园，分别位于香港和上海，下面我们分别介绍一下这两次游玩的...,https://www.jianshu.com/p/efcb864765dc,2018.11.14 10:13,1279,131,1
我的私房菜系列之:鱼头炖豆腐,海溪工作室,文/海溪工作室 这道菜里的鱼头是胖头鱼，菜市场把整条鱼切开卖，鱼头比较贵点，十一二块钱一斤，而切下的鱼身只卖四五块钱一斤，胖头鱼鱼脑中含有一种人...,https://www.jianshu.com/p/1874c1bedeaa,2018.10.25 09:12,716,512,13
能吃的面膜...名膜壹号 | 点评,莫嫡Morettie,【引子】 莫叔，最近公众号里推的名膜壹号面膜比较火，说是可以吃的面膜，莫叔能分析下吗？ 面膜可以吃吗？ 这让我想起了多年以前， 有个牌子的涂料厂...,https://www.jianshu.com/p/f1b433aa6bd3,2018.11.14 10:21,905,152,4
【收藏贴】两分钟掌握购买意外险的主要参考因素,CicyJia,今天我们来讲讲光头强的故事 嗯，没错，就是熊大熊二里的那个光头强 01 中年人生活不易，特别是很孝顺妈妈的光头强 因为工作不达标在被李老板dis...,https://www.jianshu.com/p/0a387d6dac09,2018.11.12 21:07,1801,9,0
一个人的时候，怎样吃饭才不会那么孤单？,美食范儿,近六年的外地生活，才能深刻的体会到“独食”落到一日三餐的落寞滋味，不是点外卖就是在去餐馆的路上，经常会羡慕那些手牵手的情侣，三五好友群聚喧哗的场...,https://www.jianshu.com/p/78660394bce4,2018.11.13 18:02,943,610,13
手账│如何把简笔画用在手账中,乔洛君,分享一组简单的叶子画法，随手都可以画出来。 画出一片叶子之后，重复相同的画法，大小不同的叶子组合成一枝。 简单的简笔画法不难模仿，难的是要怎么构...,https://www.jianshu.com/p/0ad362f474f5,2018.11.13 20:21,256,166,6
金针菇肉松鸡蛋卷，不一样的酥香早餐体验,惠顾星辰,金针菇是我们日常生活中常见的一种菌菇类食品。因其营养丰富，富含人体必需的锌和氨基酸，可以促进儿童智力发育，增强记忆力，所以又叫做“益智菇”。 经...,https://www.jianshu.com/p/2385bf564791,2018.11.14 09:39,889,535,19
我对澳门上瘾了！72小时最强攻略，建议你果断收藏...,美好小姐的礼物清单,这是一份补交的攻略！ 前几日子去南方，除了在深圳呆了好几天（吃喝玩乐买礼物，这里有一份值得你收藏的深圳蛇口玩耍攻略！），去香港办了一些公事之外，...,https://www.jianshu.com/p/cc415a484172,2018.11.13 09:39,5627,15856,222
OK彩铅教程 | 十五的月亮十六圆,OK小画,今天和大家分享彩铅月亮的画法。 分步骤画法 1 、描轮廓 找家里合适大小的圆形物品盖在纸面上，沿着外轮廓描边。 （注：我是用家里蜂蜜罐的盖子描的...,https://www.jianshu.com/p/4c1385f586fd,2018.11.13 10:10,643,96,4
我这样拯救我的记忆力和反应能力,果菲的世界,感叹自己的反应能力和记忆力下降。 回想起来，五年前的一个下午早早去上课，瞌睡得历害，双眼睁不开，迷迷糊糊走在去教室的路上，连走路都摇摆，迷糊状态...,https://www.jianshu.com/p/9e2d0d315ef3,2018.11.13 22:32,1733,220,2
科学解释：年幼小朋友为啥会害怕理发？害怕电吹风声音？,幼儿说,你家孩子也胆小吗？ 一位妈妈带着孩子到理发店。小男孩刚坐下，突然紧张地抓住妈妈的衣角：“妈妈，我要回家。”当理发师帮小男孩围上理发衣，“嗡嗡嗡”...,https://www.jianshu.com/p/591fc9ec987d,2018.11.14 08:59,2234,90,1
我的私房菜系列之：笋衣焖肉,海溪工作室,文/海溪工作室 笋衣指的是竹笋尖端脆嫩的薄衣晒制的笋干，颜色淡黄，有清晰的平行纤维纹路。 它含有丰富的纤维素，常吃纤维素多的食品，有促进肠道蠕动...,https://www.jianshu.com/p/c6700312525e,2018.11.05 18:08,563,370,8
秋冬必不可少的靴子，为什么你穿就显得腿短,芳芳的爱美圣经,各位小仙女双十一收到多少包裹了？ 感慨一下今年的双十一发货太快了~ 等我全部东西收了就来晒一下货。 双十一过后，很多人一定信誓旦旦要收手了，放心...,https://www.jianshu.com/p/d0a0f62eccc4,2018.11.13 23:36,1284,130,1
3招让你的时间变成成果,五四青年SZ,10000小时理论相信大家都有听说过，说到这里你可能会觉得只要在一个领域专注在10000个小时就可以做出成果 今天我不是要来告诉你刻意练习、逃离...,https://www.jianshu.com/p/886fa0f13388,2018.11.13 23:06,897,76,4
